date,ARIMA,UCM,ML
2017-12-01 00:00:00,27955.912338677,27743.1032960074,26089.07139410487
2017-12-01 00:10:00,27546.9137484192,27023.33928544,26089.07139410487
2017-12-01 00:20:00,26890.2839476702,26359.3020654145,26089.07139410487
2017-12-01 00:30:00,26526.4306696084,25756.5658655309,26089.07139410487
2017-12-01 00:40:00,26238.3009000757,25217.432842497,26089.07139410487
2017-12-01 00:50:00,25880.8800212681,24740.8890992882,26089.07139410487
2017-12-01 01:00:00,25662.3555346971,24322.9013740841,23778.050200448033
2017-12-01 01:10:00,25469.3071745067,23957.0302606433,23778.050200448033
2017-12-01 01:20:00,24974.0089431898,23635.2880808592,23778.050200448033
2017-12-01 01:30:00,24718.4214458712,23349.1294763044,23778.050200448033
2017-12-01 01:40:00,24526.0852183676,23090.4380065259,23778.050200448033
2017-12-01 01:50:00,24447.4108750301,22852.367969557,23778.050200448033
2017-12-01 02:00:00,24116.8787552843,22629.9193952319,22657.861905067355
2017-12-01 02:10:00,23988.2254036943,22420.1638618549,22657.861905067355
2017-12-01 02:20:00,23941.7083171614,22222.0937639837,22657.861905067355
2017-12-01 02:30:00,23681.1299416509,22036.1292049296,22657.861905067355
2017-12-01 02:40:00,23647.6232873611,21863.3744994222,22657.861905067355
2017-12-01 02:50:00,23708.8422591913,21704.7602406896,22657.861905067355
2017-12-01 03:00:00,23505.5699544212,21560.2289249185,22068.92186238597
2017-12-01 03:10:00,23233.1628998171,21428.1177005388,22068.92186238597
2017-12-01 03:20:00,23307.5466689959,21304.8608785334,22068.92186238597
2017-12-01 03:30:00,23293.881069917,21185.0820100333,22068.92186238597
2017-12-01 03:40:00,23305.5973124224,21062.0791842837,22068.92186238597
2017-12-01 03:50:00,23361.5972258286,20928.638852083,22068.92186238597
2017-12-01 04:00:00,23543.8023765754,20778.0547069975,22005.93819310317
2017-12-01 04:10:00,23562.3182659314,20605.1892990714,22005.93819310317
2017-12-01 04:20:00,23681.8237677537,20407.4041645944,22005.93819310317
2017-12-01 04:30:00,23814.0875963001,20185.2017879188,22005.93819310317
2017-12-01 04:40:00,23650.3095840933,19942.467025266,22005.93819310317
2017-12-01 04:50:00,23845.890999835,19686.2593733781,22005.93819310317
2017-12-01 05:00:00,23915.5767263707,19426.1798587832,22800.981396105122
2017-12-01 05:10:00,24785.7528487007,19173.4049763148,22800.981396105122
2017-12-01 05:20:00,24553.2213120393,18939.5332328359,22800.981396105122
2017-12-01 05:30:00,24182.1801999199,18735.4183491558,22800.981396105122
2017-12-01 05:40:00,23849.0814823441,18570.1622359638,22800.981396105122
2017-12-01 05:50:00,23692.5654139752,18450.4108434215,22800.981396105122
2017-12-01 06:00:00,23252.5852023742,18380.0423406582,21840.035752198197
2017-12-01 06:10:00,22428.3064062771,18360.2693832552,21840.035752198197
2017-12-01 06:20:00,21604.1462839139,18390.107451156,21840.035752198197
2017-12-01 06:30:00,21366.185191366,18467.1016214214,21840.035752198197
2017-12-01 06:40:00,21758.5341609633,18588.1649832992,21840.035752198197
2017-12-01 06:50:00,22283.3349497191,18750.3697438162,21840.035752198197
2017-12-01 07:00:00,22921.6790278015,18951.5485327609,21565.57886675906
